first_seg	second_seg
25 grand for a guitar ??? I only get 20 dollars a week for allowance. Gonna tale me forever	to have enough money! Xx
"I kno I dnt fit that ""picture"" so we jus having fun ..you'll be my"	friend for life tho :/
growing up to be mature is good but don't grow to much.I fell in love with the boys	from x factor remember that
Im up ..barely slept at all ..damn ppls decision can really effect your piece of mind ...been having	mini dreams all night smh
Fake love comes and go when you are in need if help..real love comes and stays	with you through hard times!
Educators cant control classrooms ..not because of ADHD ..but because of a lack of	discipline in the home. .
My views on marriage have not been that positive as of late.	":-/ Sad, I know... *smh*"
I love Mellow People all that loud Sh*t For what tho???? But I Will turn Up Quick	if you take Me Der
He know he know the game he ain't no lame He know Im gone	do the best I can
you're not the only one confused and I'm trying to but it	doesn't seem like it will
prayin 4 u Dominic..if u need a ear or even jst 2 vent if no 1 else is there 2 listen i surely will...stay	strong 4 u & urs
I hate to say it but talking freaky doesn't excite me anymore	its just like oh okay
That Shit Was Foul As'f! My ass was cryinggg & them folkss didnt have to	say shit us! Fuckedd Up
Tears are steady pouring from my eyes. I hate that I have	to go through this alone.
I Hope He Okay! Im Finna Go Home & Get In The Bed & Jusst	IDK! My night fuckedd up
"You can either love me or hate me , wateva you do it wont"	make me or break me..
"I gotta 30 and the numba that come after 8, left of one shot from"	"five, take off his face.."
Lemme see wusup with this Westwood College. O...and The Famous soul food spot near	Camp Creek is on point!
I love it when i get off work and come home to my baby	girl she be missing me
naw bra she came at me like she always do and i shut her fat kneck ass down u goe	learn bitch 2 respoect people
"not a thing..but what's wrng with not gettin one? It's a healthy hair type thing, not really a I'm"	tryna to impress you thing
WHY DO YOU FEEL THE NEED TO TALK ON THE SPEAKER PHONE WTF I DON'T NEED TO HEAR	YOUR DAMN CONVO FUCKING LAME
French montana and his music are a joke 2 me don't even take bra serious..... Like how do u style kanye and	ying yang twins ad libs
It's going to rain in a few which means two good	naps in one day lol
Bitches get fucked on the roof when I aint got no	hotel doe ~ Big L
So I guess Mobile Heights the only one getting rain ....ain't	this bout a B word
Got a long day ahead of me tomorrow finna call it	a nite after the game
When I get back in here from work I got some rice waiting on me S/O to my grandma	she look out at times
I done pulled myself together just to wrap my hair back up	& get in the bed
"Anyone ISO a DJ for Sunday Father's Day? I'm available. Call me 410-645-0495; M - F,"	9am-5pm. I do Karaoke too!
"What ever happened to those nice men that made that song ""White Tee""? I'm tired of ppl looking at me funny"	when I play that song
I was at the show when they last had Nas....he was on his knees in the rain performing One	"Mic and niggas was booing"""
WHY IT HAD TO BE THAT WAY YOUR WRONG DEAD WRONG TELL ME HOW HOW WE. CAN WE GO ON SEVEN. HOLE DAY	YES I LOVE. THIS. SONG
"I read dis tweet of women stress,& I think women shuld think alot more cuz maby if dey did dey culd solve sum dey"	own problems & b happier.
"I aint gone lie,sumtimes im scard of being myself bt wanna kill those who make me feel dat way though its my fault bt"	cant help who I am
We do this EVERY summer jam. Think of scenarios where Hov can come out.	"We used to this shit."""
Rammstein is awsome.These niggas hav guitars wit flamethrowers aleast 20feet of flames wen playin a fret.Imma try	dat on july4th if possible
most people compared the andrew luck & rg3 draft to manning and leaf. What was ryan leaf like and	how do the two compare?
"if yo lady got one, you prolly need to add to your game. Vibrators and dildos"	should damage a niggas ego.
I wish I knew how 2 erase personal messegages I sent in regrettion. Yea I regret a	message or 2 I sent.
"I'm hiding in the grand canyon fuck it, ima make it through theese 12 hrs"	lol. Gotta hide the car.
"what channel are yall on today, I missed the show yesterday because comcast said there was a baseball"	game on. What time also.
Nigga my palette has been spoiled ..I can't come back home and make the same pasta	after eating this italian authenticity
Wait wait did i just see someone tweet and say j cole album	is better than the yeezy
Mogs keep asking me where my people are from..I say america and there like no before they came there..	Damnit I dunno specifically where
"in all honesty, any top 20 QB would be great with Larry Fitz. Carson did throw for 4000"	yds if I'm not mistaken.
Bay was arguing me dwn when we have a baby if its a boy he gone be a	jr.NO THAA HELL HE AINT
In other news Paula dean hired the real life Olivia pope	to fix her situation ..
i was gonna initially do the 4th but now i gotta wait till my	money is back in order
"Ion fckk wit to many bxtchess ,cause these bxtch these dayss eithaa fake"	"or messy ,if not both"
Shout to angela for remaining professional ... You know her and bow wow discussed that red carpet	interview prior to it happening
"Ian scared to tell NOBODY i love my boyfriend ,it is what it is ,cant"	help who uu fall fah
"So , Over These Niaqqa'ss ! It's Been There Done That"	! I'm Faithful To Mine
We use to be talkin bout stuff && ppl aint kno	wtf we be talkin bout
My momma Is Up In The Kitchen Listeinqq 2 Daa The OMG Gurls ! I Thinkk She	Still Drunk From Lastniqht !
"Lmaoooo ,nawl hoe ,yeen smackin shit ,only one touchin my ass is KENDRAVIUS , && hoe"	my ass aint sloppy neither
"Is it wrong for females to use a nigga for pleasure ,??? I mean niggas"	use females all the time
"Ian trippin i was finna put ha out ,call another busy body bring"	ha in && work out
Quint Jerry and Marlo Want Me Ta Come Ta B.C. Rain	They Needa Come Ta Murphy
"lol causee man i was new to thaa shi ,yah kno .?"	",but i gotchaa li'baby !"
But I just always keep stuff like that to my self but sometimes doing	that fucks up my days
"Go To Bed , Wake Up &Go back .... My grandma work her"	saggy shyt better den yu
positive it's not yours - cooked in. I had a dream (nightmare?) about it last night. Yes - this is	the shit i dream about
awesome! Enjoy! If you have some free time you should stop by for a glass on	the patio. Super cool place.
"When we was all in our feelin earlier he was like ""&& thats why ima marry you && spoil thaa fuck'chaa,jus keep holdin"	"me dwn like you do"""
"ion kno ,yours that sunday && mines that thursday ,my mama said she"	might get me a room
I wish i had app to let me kno who ne askin these questions	on ask cause i swear
I am such a huge fan you are a amazing singer and a role model to everyone may	god blessed you on everything.
That was my first time seein my mama && daddy argue like det &&	ian like it AT ALL
People only look at the bad things but they don't recognize all	the good u have done
Looking for my baby a new bedroom crib set ugh it's not easy to do so	many options to choose from
ion even know why u keep putting stuff on here but u juss made status	about a nigga u miss
"I'm happy it's over. She went from in ""love"" with bill to his son. Went after a taken"	man and killed his baby
oh! I haven't got that message but I'm getting off of	it my bill already high
Chief Keef told police it's a fast car that's why I bought it.... I	can't be mad at him
Can't believe some bitch ass tried to call my insurance company and say I was involved in	a hit and run. Foh
"I want your energy to take control of me, I go to sleep I"	see you in my dreams!?
If back in the day they had Gatorade in glass bottles... I think they	should bring that back lol
"everytime I say it she call me gay lol"" she told me but yours little jas"	I was like I no
I have to get breakfast I went to sleep hungry bc it was too	late to eat last night
click the burrito you want then do the drink... Put in promo code and then you	put in the card number
"fck u 50 , u a old head goin to matinee "" this the best time"	! No lines and peace
I use to think about immature things.... Like. Do you love me? Do you want me? You gon call me	like you said you would?
I knew ppl was gonna go overboard They on there sucking	"dick and fucking "" completely !"
& I got out here just In time to put my car on the	other side of the street
For all my Greeks going to the AGP check out Greekedup Co	booth for your nalia needs!
"everytime u don't get your way don't call u, u ain't a real friend!"""	"Oh I'm not whore ok"""
Bruh. When I walk in the pizza place I don't want to see yo ass	chomping on a pizza stick.
"Nas heard your single and he hate that shit"" I sure he"	doesn't care Wht u think
Pop pussy baby show them niggAHs you ain't scared in here. Shake them titties baby shoe then nigga	you ain't scared in here
This whole moving this is so frustrating. Cause I don't want a lease somewhere I	don't plan on staying long.
girl it takes me 2wks to wash by that time I have	"to wash again lol"" smh"
I get so excited when I realize it's almost 4:00... Then I remember that I	don't get off until 5:00
"Un petit chapeau rigolo, don ? la t?te, don ? la t?te. Avec un poulet jaune, en les poissons... Sur"	"un bateau, sur un bateau"
Ctfuu! I'm saying & it's funnier cause we just talked about	lame ass people doing that
I'm nosey sometimes Damn right imma peep when I think something ain't right fuck who do like it I ain't	here to make u happy
"Smh Pull, pull pull yo track pull them out your hair she gonna scream till"	they all fall down everywear
Ion even know dat broad...but she know...u cant be cool wit everybody no	matter how right it is
America is boring...I want something new everything is so repetitive...wanna be's afraid	"to be themselves, weave, ect....."
I'm ready for football season!!! The NBA is full of pussies who cry about everything ohh my how the game	has changed over the years
All the Big Name Mob MF's got their money on a 7 game series..if y'all think MIAMI not go	win this game y'all trippin...
The SPURS aren't hardly playing like they did last game...I have never seen so many turnovers n my life from	this team..hmmm I wonder why?
Really Jamie Foxx?! get your hands off my Jordan's WTF!!! He just	set us back once again
This is prolly the easiest night to get some ass n	Miami especially if they win!!
When Your Ex likes Your Pics On Instagram >>>>>>>>>>>> I Be Like Yeeeeeaaahhhhhhh	"Bitch, You Want Me Back"
I hate to say it but a lot these niggas on twitter lame as fuck how can	u possibly tweet that much
Damn I'm tired glad I only gotta couple weeks left my plant shutdown all	of July goin to Miami
I got a pa day I'm use for work tires as hell can't go in today	plus it feel good 2day
Its crazy cause niggas lie to they HOES sayin they dont have a girlfriend but	have a whole one smh
The Higher You Go In Life The Less Noise You Will Hear (less people at the top) If Its To Noisy In Your Life Take	It Up A Notch!!!LETS GO!!!
"My Thought Of The Day: I Don't Make Many Promises But Here It Goes, Dear Life I Promise To"	Give You My Best Shoot!!!
I hate dis clown ass nigga mane I don't believe shyt	he say smh lol rs
"Spent the day with my youngest daughter, first it was ice cream, then it was shopping, now we r on the"	swings then off to dinner
"The emojis I just sent Quinton. Kml, we think alike so Ik"	he's qonna qet it .
"You think that shit phase me? Luv, you was just a convo piece. That's it. You jumped to conclusions. Now"	you feel played... Oh well!!
I think It was last year when they chased that car to	EC and shot it up
I love when the o's have a day game during the week. Listening to a baseball game on the radio and coding are	two of my favorite things.
"I won't say dat...cuz I know a lot of ppl dat didn't settle, but it"	didn't take 3 months tho...
"i may be dum, but im not the biggest jerk...nor the ugliest"	cuz u got that title
dat all goes back to accepting accountability of ones outcome...want the glory	but none of the blame.
I neva understood the reason for the differnt tracks...I just can't wait	til they off my commute
I'm being true. I was expecting word dat Rose been killing niggaz by	now...nothing in the circuit. Nada!
"well look at chu, u lil lurker...I already discussed with dion. I said I will do"	"show...Just wasn't for ""event"" sheesh"
"naw, i think i used the video the publisher had on website...its not dat hard...but den"	again imma Techie 2 so....
I figga a few hussle pts should allow him to get a few buckets...but over all	Antp give em dat work
im sure some goofy will settle 4 the win and wife her...or she	accept his 4 baby mommas...
on this domestic ish rite now but imma move around after I hoop tho. I got	chu yo copy in truck
the min I sent it I was like...wait this Nate...den it	was 2 late. smh lol
that's how I felt about my baby bros...18 and 16 and they was my shadows and I changed they stinky	diapers. Both on twitter now
"Why do chicks see a guy they use to mess with dats married and think...""Oh dat coulda been me"	"if I wanted it"" ?"
I just seen a chick transform in front of my eyes as this dude	try to holla on my
Im talking regular white dudes..not the Jon B white guys....They just rarely consider	black women as an option....
No White woman dat eva had a A symmetrical hair cut can convince me she	neva dated a black dude...
"Dare I go on a limb and say...That ""Black woman sass"" isn't as"	appealing as it once was?
I give props when due! I celebrate winners! But don't try to step on me 2	appear deep 2 some hoes...
2 the fellaz dats and they ex girl know it and	giggles everytime they see em...
im on youtubing listening now...and if I have to TRY to be open minded to enjoy I	feel im thinking 2 hard.
"the Gov, tryin to pay both sides against the middle and make money...the Vampers Govt"	is gone now Billith here
"I mean, nothing wrong with a chick with good poon and"	not stingy with it lol
Lez ur a jerk ass! well u neva told me u read it...u	been all redbone busy nshit!
"A chick with a ""Him"" will go on a date with another dude and set up the"	"smash session with ""him"" afterwards..."
90 percent of black women that work downtown over 5'9 lock eyes with me	as I walk past...no BS
"If Pop plan to ""expose"" LBJ jump shot worked mogs woulda called him"	a genius...let the heat cook.
*sets summer schedule* When KP playoff games? Hyde Park Alumni Picnic? House Picnic? Taste?	Crunch Brunch Picnic? Bruhz Picnics?
"oooh talk to Eb bout dat...she use to say she ""wouldn't be 1 of dem women that flash her"	"ring"" NOW ask her. HA"
Aye imma be late to the HP picnic...prob around 5. But I still wanna ride	in like purple rain lbs
hey as long as doing what u want yields u the results u	want. U doing right chiefette
"I rather take a ""fake"" married person advice than a single person about RS, at least a"	level of compromise is shown
a man that invest extensive time before getting what he want is called	"a ""gentleman"" in women slang."
showing how easy it is to admit the failure can be ones own fault....I accept it and will strive to	do better. Crazy world right?
And I refuse to believe I neva saw a chick breast feed	and was only 1 staring!
I wish would have a groove so I can randomly roll	thru..talk my shit and leave.
"I'm Pretty, But I Am Not Beautiful. I Sin, But I Am Not The Devil. I'm Good, But I Am"	Not An Angel. -Marilyn Monroe.
Thank you everyone for the Father's Day wishes. Sending blessings to	"all the fathers out there."""
"Can't believe we get new consoles, New GTA, new BF, new Splinter Cell,Watch Dogs, AC4, Dead Rising 3,Arkham"	Origins b4 the years over.#2013
Word! At least she working. she's gonna have to work mad hours just	"to see any paper lol"""
Bitches ain't shit! Females want a loyal dude but can't even	"be loyal to their friends"""
oh no!!! I didn't even know she was there. There was no	parking. Smh. I feel bad!
"S/O to all my male friends and cousins who never sugar coated shit,"	always kept it so real!
And tbh I hate Yale lol I just like a few	people on my daddy side
A all doing school I wanned to fight Sam and mon but I tryed an wat happen my eye	was blue for two weeks
Me & your momma will make a salad and play in it	like it's a pool lol..!!!!????????
Can I just get a blow job fr the crack of	my hairy ass kmsl Jp
"-Chillin In The Dark Like A Real Nigga.!""naw that's some penitentiary shit gettin"	raped real nigga shit lmfao
If a bitch go to food stamp building and the security guard signs	her in.. She's a whore
"Light skin niggas upset everywhere about this new Instagram shyt""them niggas"	glad in the low lmao
I thought I was thirsty toward these bitches... But these bitches be	thirsty for these players smfh
"That nigga don't do shxt for you, but when he down"	talkin a bitch you satisfied.
I've meet co gay ppl . I still feel that the	shit nasty but they cool
Think ima have my 18th bday in Ohio. Then again It's gne cold as shit. All I know	is I want something big
Ion really believe shit people say I just been lied to so many times It's	like Fuck dat.Trust no one
At 2pm we will be giving away free tickets to the Graceful Hands Celebrity B-Ball Game at	"Cass tech On June 29,2013."
Visit all locations for tickets to the celebrity charity b-ball game at	Cass Tech 6/29/13 powered by
Tyga & big Sean - I'm gone. The beat tuff I don't	like the song to much.
lOl GA's Tornado Siren Sounds So Weak.! I'm Not 100% Positive That's What It Is...But What	Else Could It Be? Smh
AYE LISTEN GOT AH SPECIAL ON TATTOOS BRING 2 SPENDIN 25 GET YOU 1 FREE NO	BULL HMU FOR MORE INFO!!!!!!!!!!!
Bought to kick my feet up and sip on a lil drinky	drink to ease my mind
I can't lie when I worked for future care I wanted to work in housekeeping lmao... They swear	they had tha best job!!!
Pls tell y'all friend her braids looked fuck'd up... Keep wanting to twist them big	shits up in a bun
I am in no way Tryna rush to grow up but 21 and up just got more options then	20 and under do lol
I need to try and work these too jobs out; well if	I get the other one
I need to find those pink 11s; wtf was I thinking	not going to get them
Somewhere in the past week I forgot then entire plot of Harry	Potter. Poof. It's all gone.
Saw one of those son of a guns in a yard on my way home	today. Right near stole him.
I'd be a terrible kitty owner. I'm not home enough to keep it company...and	someone else took it home.
Man fuck dat hoe man my nigga n dem had dat	hoe n the Bryan Frazier
Think about wat my life could b that's when I pour	up n light this weed
I been listening to my SL bros all day...but not because they my homies they	just better than you rappers
we'll u should have came to the beat person for the job...... Me but I see u	don't fuck wit me nomore
My grandma told Eric he can spend da night knowing I was mad at his ass.......... Now I done slipped up	n let him dtmf lbvvvvvvs
tell yo sister that you R a grown woman and U can make UR own	decisions... Thanks for her concern...
if U read both of the tweets... I changed it up for	U because U R special...
- Ii Must Say Shordy Was Ah Complete Waste Of Mhy Time Shid Um Doin Wonderful Without Ha &&'d	Mhy BD Pidd Fuk Relationships
"Sometimes the shit you fuck with, is just not what my"	life needs to fuck with.
The only logical reason to watch basketball is Kardashian-related men. is that like	pretending to like Downton Abbey?
If dis rachet hoe dnt txt me bck>> ima walk to haa house	nd slap haa ugly ass!
Teacher Got in a fight with a student this morning?? Now she is unemployed. Lost her job with only a few	days left of school smh.
"This lady is suppose to sing The Negro National Anthem but she just whispers to me "" I"	"don't know the words"" huh?"
Its too early for the Drunk busted friday night club pics on IG right?	Cause I just saw a.....
As Salaam Alaikum how can we help our children in public school to	stop being funneled into prison.
"you stop talking to me, & yes I Do. What you just made that"	you need a confirmation code?
Hey world gonna do some family time today. And I will Sneek in some schoolflow photos	I need for my assignment.
I was my bro's graduation DVR'd it Saw the 4th & OT when we went out to eat No sound on the	tv My phone & were
So i got in trouble for leaving work early!!! If i aint on thang is another	wit mac and sac!!!!
Knowing that people in African were royal was a plus but didn't much for my own identity. Knowing that I'm a	joint heir w/ Jesus did.
Mailmen in the hood get chased by dogs and harassed when	social security checks are late
People stood in line all night just be the first customers at the new chickfila in	HamptonCove. It's not that deep.
My mom is in Miami getting ready to go on a cruise while I'm in hsv in the	classroom on a damn Saturday
Heat fans have NO room to talk about flopping unless you talking about	that bitch in the jersey
their spread offense is totally different. They are a pass first O. His blind side tackle is	gone. Big shoes to fill
I just liked it for the documentaries but the same ones been	on there over a year.
"No puedo dejar de i?presionarme, por la necia actitud de vender tu patria a imbesiles, que ni siquiera han sustentado la"	"de ellos, no a cuba"
"Every Sat, these people on the block opposite mine have a BBQ - Cool.. If only their WACK sound system didn't"	constantly give me a headache
big bro i need yu &wade &ray allen &bosh & shane & mike Miller play hard on danny green	& Parker &Duncan & Neal
U gotta love that old wine-o in the hood I got	a 2month update in 5min
"Only God makes the rain fall and it's falling a lot in Queens, but I don't have to go out so let it rain, let"	"it rain, let it rain!"
I Seen It Wit My Own Eyes. Shit Was Real My	Nicca Str8 Kilt Her !
Ghetto translation~Lemme Call you back = You have a great rest of the day. Talk	to you tomorrow lmao ijs
Somebody needs to invent an alarm clock that releases the smell of bacon. A nukka	would never be late lol
"If one more damn Mosquito bite me...... I know I'm Carmel and tasty looking, but I'm sure its some other fat ppl to"	go bite on wtf lol
You know when you wakeup wit so much energy it make	you lazy. That's hella crazy
Pretty women wit bad breath. That's that shyt I don't like. Plus its	too hot for that mess
"Somebody told me that coochi had pork in it. Is this true? And if so, does it come in vegetarian also?!"	I'm on a diet Lol
"If I was ur best friend, would you let me do all the things that"	only a best friend can?
I have a head ache having been to sleep in 2days I'm going to sleep so good tonight hair appointment	tomorrow Or cut I'm scared.
So I'm extra late I had no idea David Correy got a record deal. I loved him I was so mad he	was voted off so early.
"U ask 4 my number..I tell u I have a bf..Ur response ""SO, I like competition."".niggas"	ain't got no respect lol
dont try this at home kids ...okay i will try it	at my friends house then...
Wassup tweed fam? I have been up since 12 yesterday .lol	smh Alwayz gm ! :0)
"My shoe game is so weak right now. Need new work shoes, running shoes, sperry's/loafers and reg tennis"	shoes. Must step it up
Dnt like ppl who smash or try to smash the homies. That's whack!	Hands down! Male or female!
R U TIRED OF HITIN THE BEAUTY SUPPLY AND COPPIN THAT BLACK NO.1! IS YOUR WIG BUSTED DISCUSTED FRYD DYED LEANIN	2 DA SIDE HIT UP
Feeling really anxious can't wait I hope God hears my prays and they release	my baby help me lord
For once can I meet a handsome respectful guy tht DOES NOT SAG HIS PANTS !!!!!???? Tht is trifling...at least not	soo low ! Ugh !
If we say two forms of ID why the fuck would	you come with just one...
I thought I was making progress but I guess I was wrong. Smh	this is really bothering me.
Dude comes to the mall with friends. It's raining. He gets his car to pick his friends up in front of the mall..	It was only sprinkling lol
I'm prob the only motherfucka on this planet that doesn't like hot doughnuts... Hate when	the hot sign is on
Getting ready to get jog on this morning! I need to get my health back in order. I've been a bad boy for a while so	I have work to do.
And as a shopaholic... I'm taking strides to be better with money... And I'm cutting up my credit cards and	removing them from my PayPal
See Ah Opp Let The Thing Blow We Checking Ah Bag	We Dont Need Hoes !
Chilli cheese fries with jalape?os sounds soooooo good. Where can I	get something good like this?
Dnt cum my way fa nth Dnt hit my line fa nth fony ass fuck	niggas u niggas is nth
Damn why aren't any of my shows on demand yet! I don't want to wait to	watch them until next week
I saw Dr. King's speech in its entirety yesterday for the	"first time, I'm still moved."
A great day for the fathers. Add to the legacy. Or build a new	one with your little ones
Taking precautions. Not every deal is solid. And might bring on lessons that u wished u	were patient to learn first.
I don't think it's hard to find love. I believe everybody are on different levels in	life. No need to rush
I feel like stiles might become a beta to save his dad judging by the	preview for next Monday :D
"I'm still up, man world war z was pretty hood. It's"	a good picture to watch
I believe that God makes NO mistakes and that everything happens for a reason...whether	it be good or bad
How u have somebody make a promise not to drink when they drunk tho? That's	"juss down right sneaky"" lmao"
It's way past my bedtime but so much on my mind that	sleep is no where near
I know I don't grew into my own when I all	I wanna do is grind
I been giving him my prayers . He been blessing me with . And stay	clear from all these hoes
"I'm so fucking,(irratated)like everybody is fucking blowing Da shit out of"	my Life#im done say nomore:-(
Ive eaten Lou's and Harolds in the last 3 days. Diet here I come. I been working out but about	to go in cardio overload.
People who know me know I been to hell and back and	I can FINALLY say...IM HAPPY
"Right.now I'm enjoying watching my grand children play, and my family are here assisting"	me with my new book
This cold making me about to pour me a drink cause I need to be well	for this work week ahead
They're mad about the gov't tapping phone lines. I don't care. I	don't have anything to hide
naw working. Trying to get my priorities in order an get my money up so no extra kicking it and	I'm going home in sept
"He said you'd forget to pick yo' kids up, forget you're"	"cooking, forget life basically lol"
I used to be a ball of energy before class. Got there and felt like I	had been up all night
"I been meeting more girls that say ""Im going out with my boyfriend""..."	"I be like ""SO WAT!"""
I mean I know I don't have the best grammar in the world but I can	put a sentence together ll
We used to go so hard on it. We were probably two bottles	from turning into lemons lol
I can understand like a month or 2. Not 2 weeks! I'm bout to be out here	with 1 big loc lol
"At the end of the day, I cant respect or forgive the Baltimore"	Ravens for breakin RGIII leg
like i got alot of back& front thoo....he b wantin ah bitch	dat look anorexic n ish
why u have tuh go there tho SOME OF US DONT	HAVE AH LIE (RUNS AWAY)
Mindless Behavior Songs Motivate Me to Try Harder.So Im Listening to them Now To Get Threw ThiS 2nd	Day Of School. Thx Mb
When did a national tour become a national tour if its not	recognized by the Broadway League.
no not yet but I'm getting close! I was in 5th grade then! I still remember life	long affect you had thanks!
It feels good to wake up and not have any type of hangover and I almost relapse yesterday!	I stayed on the wagon
Not having a good day today at all...but it will get better.	Devil wont knock my spirits.
"cus I ain't been on here in a minute, had to make"	sure you wasn't being grown.
That boy we try to get him some drugs any kind of way! SMH!!!!!! He don't care	what person he will use!
Soooo how many Platinum albums had he produced.... FULL ALBUMS ...... After Aaliyah	died Timberland went no where
"I use to like drake , but he confuses me. I prefer the"	"rapper drake, not the whinner"
Everything I put in front of you to think about some choose think with purpose others	let others think for them
Don't get it twisted I really don't give a shit its friday and people can royally	get the fuck over themselves
I mean that even though big and pac been dead for almost 20 years. They music still relevant. They	shit will never get old.
Lebron is in facilitator mode tonite. The beast is caged. He'll get a trip dub and	win at this rate tho.
Dante can't talk I seen that video with that black fast	"sweaty girl. "" lmfaoooooo dooooog."
I grabbed it and somehow got it off me. Then put my foot on his neck. None of the other snakes	moved but they were there.
"u already . Its da truth."" Already sis niggas anit sliding witt us then"	the clip riden on em
My lefthand anit been fukcn witt.me these last couple of days	we bout to be beefn
"The Citrus 7's, all black 10's, white & red 10's and the white & purple 10's"	need to come back out.
Would u believe me if I said that I liked u from	the jump?? ...... because :-/
"Like if you die and reincarnate... Do not pass go, do not collect"	$200. Go directly to jail.
"its suppose to be an inside joke dummy. And yes"" ode mmttssgw come"	over I'm watching alake alone
Hopefully I'll get some sleep tonight cauSe I have to be at	my 2nd job at 7am
My next off day not until next Wednesday.! I work two doubles	this weekend back to back.!
Sometimes a lunch time walk is all you need to save your	job and another mofos life....
"My sinus doin thee fool right now. I'm about to grab this food, take"	some mess and be out
My brother just called me and surprised me with some good news.!!!!!!!!!!!!!!! Now I	can finally go to sleep
"What if weekend services are not ""The Game"", but preparation for ""The Game"" that begins when your"	alarm goes off Mon am?
Are you expecting to hear from God or see Him at work	"today? If not, why not?"
This class is too long especially seeing as I prob/hopefully won't even be in this city much longer. But	backup plan is always necessary
"Never SHOW A Man That Your A Good Woman Cus OBVIOUSLY He's Gonna Take Advantage Of It , LET HIM"	LEARN && EARN POINTS !
I always think why my fridge is empty but to be honest I know why it	is :):):):):) I love food
"Comcast stay leaving that threatening ass ""we were here to pick up your equipment"""	post it on my door.
Sooo Why is My First Laydee M.I.A - No txt No	Calls wtf is goin on
? The Mfers I Fucked w/ In My Grammar && Middle School Daysx I Don't Even Fuck w/ Now . Mfers Den Changed ! But	Fuck Em I'm Makin $$$
"No Flo DIDN'T hold hands, bow her head in prayer ask The Lord for help and"	cuss in the prayer! LOL
"Weird as hell as to why I wasnt hungry yesterday, maybe"	because I was so tired.
A cross dresser with a great job or a good dresser with 2 felonies who hasn't	worked in 3 yrs ?
Silver Lining really Jackass? People could have lost their lives & ur worrying	about The Heat winning.How insensitive
I feel ya! I only ball when there is a tournament...still got game thou...lol. If u ever in	Chi city ill play u...lol
"****ATTENTION EVERYONE I WILL RESUME THE OLD SCHOOL & HOUSE MUSIC WEDNESDAYS ON SEPTEMBER 4, 2013.. DUE"	TO THE ANNUAL JAZZ EVENT...
"Been bungee jumping, but I was bent. Don't think it's enough liquor in the world to get"	me to jump outta plane.
You wack if you decide against posting a tweet just cause	you running late for work
whatttttttt? You gotta lil one? Smh...babies having babies. Must be a newborn if you	ain't been pissed on yet
"Its abt time obesity is recognized as a disease. People HAVE 2 eat, no1 has 2 do drugs/drink &"	both have been declared diseases.
Are you guys doing a tasting Saturday? Missed the first few &	would love to stop by
Uh she wanted 2 recreate a Plantation Theme wedding because she liked the	nostalgia of the period? WTF
Cheese was a taste of the nation silent auction item. Bourbon was from	the F&W event last year.
let me throw a basketball and a stick at yo head	and see if cry !
yes maam she/her/me do lol. Are you in the 615 yet?	Cant wait to come visit
we didnt even say we was going . I just said i want it.	U had hooters w/o me
I'm mixing up a killer Bellini. And yes - it is	fresh pur?ed peach. As if...
Ima clippers fan off dump im just going for the pacers b	c ion fw the heat
".. Don't believe the lies look me in my eyes , please don't be scared if me, please"	don't be scared of me
"I can't w/ ppl .. I gotta remind myself everyday ,"	too continue looking Straight Forward
ALOT of people on twitter fronting and for who..cause when you get that ass whooping thats coming to you..they gon	be on here clowning you.
"Been up since 6am LOVE, thanx 4 the wake up , I'm able 2 get my"	early morning prayers in .
The women of have returned and they are truly giving God praise	that they have SURVIVED !
It's beginning to make sense. My Father was born on Aug 11. Hip Hop was also born on Aug 11. Pops was Crazy with	words. Need I say more???
"my shit is ""Streets Made of Gold"" he went in on that one.""<<Oh Yea that song I put"	on repeat when I'm riding
This Is the first time I've actually been able to watch tv	in a long time ...
I Took My Flat Screen Out And Put It In The Living Room Why'll	"I Sleep In Here, Lbs"
Dree The Only Girl I REALLY Loved. Rest Of Them Girls	Idk Were Not For Me.
"I Need To Stop Getting In My Feelings Thats All, Mfss"	So Flip Floppy With Me
"Happy Father's Day to all the fathers, men who aren't the fathers but play the role, & all the women who HAVE"	to fill in for fathers.
"My Mama Finna Go To My Grandma House, And Miesha Finna Come"	Over And We Finna Smoke
"I made the suggestion to go out. Now that is time to get ready, I"	changed my mind. I'm terrible...
"I hate when dudes say ""maybe I'll carry you one day if you act right."" How about I act the same and"	carry myself. Good day sir!
"Can't blame Rachel, I'm sure her mother speaks that way. The cycle"	has to be stopped somewhere
now u see how a Nigga be feel in !?! But don't say fuck	mee I been here woop
I'm just ready to do a video with French Montana Nd	Kirk bangz no lie fam
Tonight was quite eventful. I did meet some cool dude. Its crazy that none	of them like girls. Smh
I like that AT&T commerical with the couple singing off that atlantic	starr song for some reason
"Don't be around for the moment, messing with me will get you fucked if you fuck me"	over just for the moment...
I just look like this don't get it twisted I will fuck you	up and leave you stankin.
That moment when autotext insist on putting the antonym of each	word im trying to type...
The moment when you wish your friend would loose because you wanna go home but	they keep winning every game
it got a little dry in the middle with those random stories	but it picked back up
"Cookout get the fuck on with that ""my pleasure"" shit... That's"	for Chik Fil a only.
wow that's a great story. Had to scroll down to catch the beginning.	The ankh caught my eye
Dudes will want to fight if they think you looking at they girl but get mad when you tell them she	mad ugly I wasn?t looking
Light skin chics spoiled because y?all dudes wanna eat them out and not hit now	she think she the shyt
Hey it was good to see you again! Didn't get a chance to talk	but wanted to congratulate you.
